Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	pLI	DSI_g	DPI_g	N_diseases	N_SNPs
A1BG	1	P04217	alpha-1-B glycoprotein	Receptor	4.9917e-09	0.7	0.538	27	0
A2M	2	P01023	alpha-2-macroglobulin	Enzyme modulator	4.5229e-11	0.529	0.769	147	3
A2MP1	3		alpha-2-macroglobulin pseudogene 1					1	0
NAT1	9	P18440	N-acetyltransferase 1	Enzyme	1.9294e-14	0.536	0.846	133	9
NAT2	10	P11245	N-acetyltransferase 2	Enzyme	3.2744e-06	0.451	0.885	311	10
SERPINA3	12	P01011	serpin family A member 3	Enzyme modulator	8.833e-14	0.486	0.846	229	8
AADAC	13	P22760	arylacetamide deacetylase	Enzyme	0.0029108	0.631	0.615	54	0
AAMP	14	Q13685	angio associated migratory cell protein		0.76172	0.792	0.115	12	2
AANAT	15	Q16613	aralkylamine N-acetyltransferase		0.002969	0.67	0.692	36	8
AARS1	16	P49588	alanyl-tRNA synthetase 1	Nucleic acid binding	1.8242e-08	0.647	0.462	84	11
AAVS1	17		adeno-associated virus integration site 1			0.595	0.731	78	0
ABAT	18	P80404	4-aminobutyrate aminotransferase	Enzyme	0.0063216	0.628	0.538	127	20
ABCA1	19	O95477	ATP binding cassette subfamily A member 1	Transporter	1.4525e-13	0.467	0.846	291	116
ABCA2	20	Q9BZC7	ATP binding cassette subfamily A member 2	Transporter	1.0	0.67	0.615	38	4
ABCA3	21	Q99758	ATP binding cassette subfamily A member 3	Transporter	6.6226e-08	0.592	0.615	84	25
ABCB7	22	O75027	ATP binding cassette subfamily B member 7	Transporter	0.99994	0.678	0.385	49	7
ABCF1	23	Q8NE71	ATP binding cassette subfamily F member 1	Enzyme	1.2823e-09	0.674	0.538	31	5
ABCA4	24	P78363	ATP binding cassette subfamily A member 4	Transporter	5.3499e-48	0.493	0.769	227	372
ABL1	25	P00519	ABL proto-oncogene 1, non-receptor tyrosine kinase	Kinase	0.99998	0.432	0.923	395	37
AOC1	26	P19801	amine oxidase copper containing 1		6.7236e-08	0.628	0.769	61	11
ABL2	27	P42684	ABL proto-oncogene 2, non-receptor tyrosine kinase	Kinase	3.6365e-07	0.619	0.654	56	1
ABO	28	P16442	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	Enzyme		0.427	0.885	443	160
ABR	29	Q12979	ABR activator of RhoGEF and GTPase	Enzyme modulator	0.62738	0.65	0.5	46	1
ACAA1	30	P09110	acetyl-CoA acyltransferase 1	Enzyme	3.5904e-09	0.729	0.462	15	5
ACACA	31	Q13085	acetyl-CoA carboxylase alpha		1.0	0.48	0.846	241	26
ACACB	32	O00763	acetyl-CoA carboxylase beta		7.6499e-47	0.644	0.654	49	6
ACADL	33	P28330	acyl-CoA dehydrogenase long chain	Enzyme	1.743e-12	0.736	0.462	46	5
ACADM	34	P11310	acyl-CoA dehydrogenase medium chain	Enzyme	2.0548e-12	0.638	0.462	94	111
ACADS	35	P16219	acyl-CoA dehydrogenase short chain		2.8026e-06	0.663	0.538	56	55
ACADSB	36	P45954	acyl-CoA dehydrogenase short/branched chain		2.6565e-11	0.691	0.5	32	5
ACADVL	37	P49748	acyl-CoA dehydrogenase very long chain	Enzyme	4.2385e-15	0.653	0.654	87	121
ACAT1	38	P24752	acetyl-CoA acetyltransferase 1	Enzyme	9.8525e-08	0.538	0.692	176	30
ACAT2	39	Q9BWD1	acetyl-CoA acetyltransferase 2	Enzyme	5.5303e-07	0.686	0.462	35	2
ASIC2	40	Q16515	acid sensing ion channel subunit 2	Ion channel	0.99912	0.653	0.538	50	25
ASIC1	41	P78348	acid sensing ion channel subunit 1	Ion channel	0.93017	0.653	0.615	52	2
ACHE	43	P22303	acetylcholinesterase (Cartwright blood group)	Enzyme	0.99827	0.445	0.885	418	6
ACLS	46		acrocallosal syndrome			0.931	0.154	4	0
ACLY	47	P53396	ATP citrate lyase	Enzyme	0.083556	0.563	0.692	109	6
ACO1	48	P21399	aconitase 1	Enzyme	3.8322e-18	0.628	0.577	53	5
ACR	49	P10323	acrosin	Enzyme	0.012215	0.493	0.846	230	2
ACO2	50	Q99798	aconitase 2	Enzyme	0.20791	0.619	0.654	74	14
ACOX1	51	Q15067	acyl-CoA oxidase 1	Enzyme	0.062095	0.61	0.731	95	12
ACP1	52	P24666	acid phosphatase 1		1.7531e-08	0.566	0.731	107	5
ACP2	53	P11117	acid phosphatase 2, lysosomal	Enzyme	6.2383e-05	0.78	0.346	16	1
ACP5	54	P13686	acid phosphatase 5, tartrate resistant		0.078651	0.561	0.731	130	13
ACP3	55	P15309	acid phosphatase 3	Enzyme	2.5463e-16	0.525	0.731	151	0
ACRV1	56	P26436	acrosomal vesicle protein 1		1.2111e-06	1.0	0.077	1	0
ACTA1	58	P68133	actin alpha 1, skeletal muscle	Cellular structure	1.1385e-06	0.54	0.769	217	59
ACTA2	59	P62736	actin alpha 2, smooth muscle	Cellular structure	0.93017	0.508	0.846	200	26
ACTB	60	P60709	actin beta	Cellular structure	0.98564	0.325	0.923	1110	39
ACTBP2	62		ACTB pseudogene 2			0.861	0.077	5	0
ACTC1	70	P68032	actin alpha cardiac muscle 1	Cellular structure	0.73668	0.61	0.538	69	26
ACTG1	71	P63261	actin gamma 1	Cellular structure	0.0047837	0.477	0.846	291	20
ACTG2	72	P63267	actin gamma 2, smooth muscle	Cellular structure	0.071036	0.505	0.808	205	17
ACTN4	81	O43707	actinin alpha 4		1.0	0.508	0.808	166	10
ACTL6A	86	O96019	actin like 6A	Cellular structure	0.99665	0.678	0.346	46	1
ACTN1	87	P12814	actinin alpha 1		0.99997	0.695	0.577	34	11
ACTN2	88	P35609	actinin alpha 2		0.99968	0.686	0.462	35	9
ACTN3	89	Q08043	actinin alpha 3 (gene/pseudogene)			0.663	0.5	41	4
ACVR1	90	Q04771	activin A receptor type 1	Kinase	0.3254	0.535	0.731	144	15
ACVR1B	91	P36896	activin A receptor type 1B	Kinase	0.99969	0.663	0.385	41	6
ACVR2A	92	P27037	activin A receptor type 2A	Kinase	0.99972	0.636	0.615	62	15
ACVR2B	93	Q13705	activin A receptor type 2B	Kinase	0.83412	0.601	0.615	70	5
ACVRL1	94	P37023	activin A receptor like type 1	Kinase	0.00096719	0.493	0.769	224	114
ACY1	95	Q03154	aminoacylase 1		6.9169e-09	0.653	0.577	62	11
ACYP2	98	P14621	acylphosphatase 2	Enzyme	6.5331e-05	0.659	0.577	42	20
ADA	100	P00813	adenosine deaminase	Enzyme	2.8825e-12	0.44	0.885	379	61
ADAM8	101	P78325	ADAM metallopeptidase domain 8	Enzyme	2.1983e-14	0.59	0.731	81	2
ADAM10	102	O14672	ADAM metallopeptidase domain 10		1.0	0.489	0.846	224	27
ADAR	103	P55265	adenosine deaminase RNA specific	Enzyme	0.026282	0.501	0.808	256	32
ADARB1	104	P78563	adenosine deaminase RNA specific B1	Enzyme	0.80347	0.588	0.654	85	8
ADARB2	105	Q9NS39	adenosine deaminase RNA specific B2 (inactive)	Enzyme	0.85603	0.716	0.308	33	14
ADCP1	106		adenosine deaminase complexing protein 1			0.89	0.154	3	0
ADCY1	107	Q08828	adenylate cyclase 1		0.99747	0.659	0.462	42	3
ADCY2	108	Q08462	adenylate cyclase 2		0.99898	0.695	0.308	30	18
ADCY3	109	O60266	adenylate cyclase 3		1.9545e-11	0.678	0.615	47	32
ADCY5	111	O95622	adenylate cyclase 5		0.99928	0.617	0.577	103	23
ADCY6	112	O43306	adenylate cyclase 6		0.0058268	0.729	0.5	28	3
ADCY7	113	P51828	adenylate cyclase 7		9.4815e-07	0.656	0.462	38	2
ADCY8	114	P40145	adenylate cyclase 8		1.7766e-06	0.705	0.577	29	5
ADCY9	115	O60503	adenylate cyclase 9		0.97943	0.682	0.538	47	20
ADCYAP1	116	P18509	adenylate cyclase activating polypeptide 1	Signaling	0.52424	0.51	0.846	220	4
ADCYAP1R1	117	P41586	ADCYAP receptor type I	G-protein coupled receptor	7.2275e-10	0.561	0.769	118	7
ADD1	118	P35611	adducin 1	Cellular structure	0.9883	0.612	0.615	67	11
ADD2	119	P35612	adducin 2	Cellular structure	0.9961	0.678	0.615	29	13
ADD3	120	Q9UEY8	adducin 3	Cellular structure	0.9988	0.641	0.5	54	6
PLIN2	123	Q99541	perilipin 2	Transporter	7.5281e-09	0.564	0.692	100	3
ADH1A	124	P07327	alcohol dehydrogenase 1A (class I), alpha polypeptide	Enzyme	1.7118e-11	0.647	0.577	50	0
ADH1B	125	P00325	alcohol dehydrogenase 1B (class I), beta polypeptide	Enzyme	9.934e-07	0.502	0.846	224	30
ADH1C	126	P00326	alcohol dehydrogenase 1C (class I), gamma polypeptide	Enzyme		0.547	0.731	146	18
ADH4	127	P08319	alcohol dehydrogenase 4 (class II), pi polypeptide	Enzyme	8.0684e-07	0.641	0.462	53	25
ADH5	128	P11766	alcohol dehydrogenase 5 (class III), chi polypeptide	Enzyme	2.5356e-11	0.604	0.731	65	2
ADH6	130	P28332	alcohol dehydrogenase 6 (class V)	Enzyme	1.6373e-06	0.78	0.231	15	0
ADH7	131	P40394	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	Enzyme	1.5123e-11	0.656	0.462	42	7
ADK	132	P55263	adenosine kinase	Kinase	0.00031276	0.584	0.769	102	12
ADM	133	P35318	adrenomedullin	Signaling	0.040831	0.436	0.808	405	1
ADORA1	134	P30542	adenosine A1 receptor	G-protein coupled receptor	0.015215	0.578	0.692	121	12
ADORA2A	135	P29274	adenosine A2a receptor	G-protein coupled receptor	0.5971	0.526	0.769	213	10
ADORA2B	136	P29275	adenosine A2b receptor	G-protein coupled receptor	1.7674e-05	0.617	0.692	66	2
ADORA3	140	P0DMS8	adenosine A3 receptor	G-protein coupled receptor	0.0001441	0.682	0.5	36	3
ADPRH	141	P54922	ADP-ribosylarginine hydrolase	Enzyme	2.991e-06	0.805	0.231	10	0
PARP1	142	P09874	poly(ADP-ribose) polymerase 1		0.00033366	0.389	0.923	565	23
PARP4	143	Q9UKK3	poly(ADP-ribose) polymerase family member 4		4.8204e-27	0.729	0.269	24	2
ADRA1D	146	P25100	adrenoceptor alpha 1D	G-protein coupled receptor	4.0117e-05	0.636	0.731	48	1
ADRA1B	147	P35368	adrenoceptor alpha 1B	G-protein coupled receptor	0.13541	0.686	0.5	55	3
ADRA1A	148	P35348	adrenoceptor alpha 1A	G-protein coupled receptor	3.3722e-07	0.462	0.846	294	30
